;from;to;weight;book
860;Yennefer;Rayla;1;4
861;Ciri;Rayla;3;4
862;Margarita;Tissaia;2;4
863;Ciri;Margarita;1;4
864;Tissaia;Geralt;4;4
865;Yennefer;Geralt;19;4
866;Ciri;Gar;2;4
867;Ciri;Yaevinn;2;4
868;Ciri;King;1;4
869;Ciri;Bran;2;4
870;King;Ciri;2;4
871;King;Bran;1;4
872;Bran;Ciri;1;4
873;Dandelion;Falka;1;4
874;Count;Dandelion;1;4
875;Dandelion;Yennefer;1;4
876;Yennefer;Dandelion;5;4
877;Dandelion;Ciri;4;4
878;Ciri;Dandelion;7;4
879;Geralt;Dandelion;11;4
880;Sabrina;Geralt;3;4
881;Yennefer;Sabrina;3;4
882;Geralt;Sabrina;3;4
883;Henselt;Sabrina;1;4
884;Geralt;Philippa;3;4
885;Yennefer;Philippa;4;4
886;Sabrina;Yennefer;2;4
887;Yennefer;Henselt;1;4
888;Henselt;Yennefer;1;4
889;Philippa;Triss;4;4
890;Triss;Philippa;2;4
891;Triss;Yennefer;4;4
892;Philippa;Yennefer;4;4
893;Yennefer;Triss;6;4
894;Triss;Geralt;3;4
895;Geralt;Triss;4;4
896;Geralt;Esterad;1;4
897;Triss;Esterad;2;4
898;Geralt;Vilgefortz;12;4
899;Geralt;Francesca;1;4
900;Vilgefortz;Francesca;3;4
901;Vilgefortz;Carduin;2;4
902;Carduin;Philippa;2;4
903;Philippa;Geralt;3;4
904;Geralt;Count;1;4
905;Two;King;1;4
906;Francesca;Sabrina;1;4
907;Marti;Sabrina;2;4
908;Sabrina;Marti;2;4
909;Marti;Geralt;2;4
910;Geralt;Dorregaray;5;4
911;Yennefer;Dorregaray;1;4
912;Dorregaray;Geralt;3;4
913;Sabrina;Dorregaray;1;4
914;Philippa;Dorregaray;1;4
915;Dorregaray;Sabrina;1;4
916;Sabrina;Ethain;1;4
917;Ethain;Sabrina;1;4
918;Ethain;Henselt;1;4
919;Henselt;Marti;1;4
920;Yennefer;Keira;2;4
921;Keira;Sabrina;1;4
922;Sabrina;Keira;1;4
923;Keira;Marti;2;4
924;Keira;Philippa;1;4
925;Marti;Philippa;2;4
926;Philippa;Keira;3;4
927;Philippa;Marti;2;4
928;Yennefer;Vilgefortz;5;4
929;Yennefer;Artaud;1;4
930;Yennefer;Francesca;2;4
931;Yennefer;Tissaia;5;4
932;Artaud;Yennefer;1;4
933;Artaud;Francesca;1;4
934;Artaud;Tissaia;2;4
935;Francesca;Tissaia;2;4
936;Tissaia;Vilgefortz;8;4
937;Vilgefortz;Geralt;10;4
938;Vilgefortz;Yennefer;4;4
939;Vilgefortz;Tissaia;1;4
940;Lydia;Vilgefortz;4;4
941;Geralt;Lydia;4;4
942;Beau;Vilgefortz;1;4
943;Leticia;Tissaia;1;4
944;Leticia;Lydia;1;4
945;Tissaia;Lydia;3;4
946;Lydia;Geralt;3;4
947;Lydia;Falka;1;4
948;Geralt;Falka;3;4
949;Aen;Lydia;1;4
950;Lydia;Ciri;1;4
951;Ciri;Lydia;1;4
952;Geralt;Gar;3;4
953;Yennefer;Lydia;1;4
954;Vilgefortz;Ciri;1;4
955;Vilgefortz;Codringher;2;4
956;Ciri;Triss;1;4
957;Falka;Pavetta;2;4
958;Falka;Ithlinne;2;4
959;Pavetta;Falka;1;4
960;Pavetta;Ithlinne;1;4
961;Ithlinne;Falka;1;4
962;Falka;Codringher;1;4
963;Codringher;Falka;1;4
964;Falka;Geralt;1;4
965;Rience;Emhyr;1;4
966;Artaud;Keira;1;4
967;Artaud;Geralt;1;4
968;Keira;Geralt;5;4
969;Geralt;Keira;3;4
970;Keira;Yennefer;3;4
971;Lydia;Sabrina;1;4
972;Sabrina;Triss;1;4
973;Sabrina;Lydia;1;4
974;Triss;Lydia;2;4
975;Triss;Vilgefortz;2;4
976;Gar;Philippa;2;4
977;Gar;Marti;1;4
978;Lydia;Tissaia;1;4
979;Geralt;Tissaia;2;4
980;Geralt;Artaud;1;4
981;Tissaia;Artaud;1;4
982;Tissaia;Philippa;6;4
983;Lydia;Artaud;1;4
984;Lydia;Philippa;3;4
985;Artaud;Philippa;2;4
986;Philippa;Tissaia;3;4
987;Triss;Keira;1;4
988;Triss;Tissaia;1;4
989;Keira;Tissaia;2;4
990;Tissaia;Francesca;3;4
991;Keira;Gar;4;4
992;Sigismund;Voymir;1;4
993;Philippa;King;3;4
994;Dorregaray;Marti;1;4
995;Dorregaray;Carduin;2;4
996;Marti;Carduin;2;4
997;Marti;Gar;1;4
998;Carduin;Gar;3;4
999;Gar;Carduin;1;4
1000;Philippa;Carduin;1;4
1001;Carduin;Tissaia;1;4
1002;Gar;Tissaia;1;4
1003;Gar;Francesca;1;4
1004;Francesca;Vilgefortz;1;4
1005;Francesca;Marti;1;4
1006;Francesca;Dorregaray;1;4
1007;Vilgefortz;Marti;1;4
1008;Vilgefortz;Dorregaray;1;4
1009;Marti;Dorregaray;1;4
1010;Gar;Yennefer;3;4
1011;Gar;Keira;1;4
1012;Keira;Vilgefortz;1;4
1013;Philippa;Demavend;2;4
1014;Sabrina;Demavend;1;4
1015;Sabrina;Tissaia;1;4
1016;Demavend;Tissaia;1;4
1017;Demavend;Philippa;1;4
1018;Tissaia;Demavend;1;4
1019;Esterad;Carduin;1;4
1020;Esterad;Sabrina;1;4
1021;Carduin;Sabrina;1;4
1022;Sabrina;Emhyr;1;4
1023;Emhyr;Vilgefortz;4;4
1024;Vilgefortz;Emhyr;5;4
1025;Francesca;Emhyr;1;4
1026;Francesca;Philippa;1;4
1027;Philippa;Lydia;2;4
1028;Emhyr;Tissaia;1;4
1029;Sabrina;Foltest;1;4
1030;Sabrina;Philippa;1;4
1031;Foltest;Philippa;1;4
1032;Foltest;King;2;4
1033;King;Tissaia;2;4
1034;King;Philippa;1;4
1035;Rience;Vilgefortz;1;4
1036;Margarita;Ciri;1;4
1037;Ciri;Emhyr;2;4
1038;Emhyr;Ciri;2;4
1039;Ciri;Vilgefortz;4;4
1040;Gar;Vilgefortz;1;4
1041;Emhyr;Geralt;1;4
1042;Artaud;Emhyr;1;4
1043;Artaud;Vilgefortz;1;4
1044;Emhyr;Codringher;1;4
1045;Gar;Triss;1;4
1046;Triss;King;1;4
1047;Tissaia;Triss;1;4
1048;Emhyr;Morvran;1;4
1049;Emhyr;Jan;1;4
1050;Morvran;Jan;1;4
1051;Dandelion;Venzlav;1;4
1052;Dandelion;Geralt;8;4
1053;Gar;Geralt;1;4
1054;Dandelion;Triss;2;4
1055;Triss;Venzlav;1;4
1056;Venzlav;Geralt;1;4
1057;Venzlav;Dandelion;1;4
1058;Geralt;Fauve;1;4
1059;Fauve;Dandelion;2;4
1060;Emhyr;Two;1;4
1061;King;Demavend;1;4
1062;Bronibor;Foltest;1;4
1063;Bronibor;Emhyr;1;4
1064;Foltest;Emhyr;3;4
1065;Demavend;Hereward;2;4
1066;Hereward;Emhyr;1;4
1067;King;Emhyr;1;4
1068;Ciri;Henselt;1;4
1069;Henselt;Foltest;1;4
1070;Henselt;Demavend;1;4
1071;Demavend;Dandelion;1;4
1072;Dandelion;Menno;1;4
1073;Menno;Geralt;1;4
1074;Esterad;Vilgefortz;2;4
1075;Esterad;Emhyr;2;4
1076;Vilgefortz;Dandelion;2;4
1077;Emhyr;Dandelion;1;4
1078;Filavandrel;Henselt;2;4
1079;Emhyr;Filavandrel;3;4
1080;Emhyr;Foltest;1;4
1081;Filavandrel;Foltest;1;4
1082;Foltest;Henselt;1;4
1083;Henselt;Emhyr;1;4
1084;Emhyr;Aen;1;4
1085;Dandelion;Gar;1;4
1086;Dandelion;Fauve;1;4
1087;Gar;Fauve;1;4
1088;Gar;Dandelion;1;4
1089;Ardal;Emhyr;1;4
1090;Count;Emhyr;1;4
1091;Vattier;Emhyr;1;4
1092;Vattier;Stefan;1;4
1093;Emhyr;Stefan;2;4
1094;Emhyr;Xarthisius;1;4
1095;Xarthisius;Emhyr;1;4
1096;Emhyr;Vattier;1;4
1097;Vattier;Ceallach;1;4
1098;Xarthisius;Vilgefortz;1;4
1099;Cahir;Emhyr;1;4
1100;Emhyr;Cahir;1;4
1101;Cahir;Ceallach;1;4
1102;Cahir;Vattier;1;4
1103;Ceallach;Vattier;1;4
1104;Vattier;Adda;1;4
1105;Adda;Ciri;1;4
1106;Jarre;Geralt;1;4
1107;Ciri;Seven;1;4
1108;Ciri;Little;10;4
1109;Little;Ciri;7;4
1110;Aen;Ciri;2;4
1111;Calanthe;Paulie;1;4
1112;Calanthe;Vilgefortz;1;4
1113;Paulie;Vilgefortz;1;4
1114;Vilgefortz;Triss;1;4
1115;Little;Falka;1;4
1116;Blue;Ciri;6;4
1117;Ciri;Blue;6;4
1118;Ciri;Two;3;4
1119;Blue;Two;11;4
1120;Two;Blue;6;4
1121;Blue;Sir;1;4
1122;Ciri;Sir;1;4
1123;Sir;Blue;1;4
1124;Ciri;Kayleigh;14;4
1125;Kayleigh;Baron;4;4
1126;Baron;Ciri;2;4
1127;Baron;Kayleigh;1;4
1128;Kayleigh;Ciri;14;4
1129;Kayleigh;Iskra;2;4
1130;Iskra;Ciri;11;4
1131;Ciri;Mistle;12;4
1132;Mistle;Little;1;4
1133;Ciri;Iskra;2;4
1134;Iskra;Kayleigh;6;4
1135;Kayleigh;Mistle;6;4
1136;Mistle;Ciri;7;4
1137;Mistle;Iskra;4;4
1138;Mistle;Kayleigh;3;4
1139;Falka;Ciri;2;4
1140;Ciri;Falka;3;4
1141;Mistle;Falka;1;4
1142;Falka;Mistle;1;4
1143;Kayleigh;Emhyr;1;4
1144;Emhyr;Kayleigh;1;4
1145;Aen;Mistle;1;4
1146;Aen;Rudiger;1;4
1147;Mistle;Rudiger;1;4
1148;Rudiger;Mistle;1;4
1149;Mistle;Asse;2;4
1150;Kayleigh;Asse;1;4
1151;Milva;Forest;1;5
1152;Forest;Milva;1;5
1153;Maria;Milva;6;5
1154;Codringher;Milva;2;5
1155;Milva;Geralt;51;5
1156;Milva;Maria;4;5
1157;Geralt;Maria;1;5
1158;Milva;Ori;7;5
1159;Ori;Philippa;4;5
1160;Philippa;Ori;2;5
1161;Ori;Triss;1;5
1162;Philippa;Triss;3;5
1163;Yennefer;Artaud;1;5
1164;Artaud;Yennefer;1;5
1165;Artaud;Ori;2;5
1166;Yennefer;Ori;2;5
1167;Yennefer;Milva;2;5
1168;Ori;Milva;8;5
1169;Ori;Maria;1;5
1170;Emhyr;Milva;2;5
1171;Shilard;Francesca;1;5
1172;Ori;Stefan;1;5
1173;Philippa;Stefan;1;5
1174;Philippa;Emhyr;3;5
1175;Stefan;Emhyr;1;5
1176;Milva;Little;1;5
1177;Little;Aen;1;5
1178;Little;Milva;1;5
1179;Aen;Milva;2;5
1180;Milva;Toruviel;3;5
1181;Toruviel;Milva;3;5
1182;Margarita;Philippa;3;5
1183;Philippa;Keira;2;5
1184;Keira;Triss;3;5
1185;Keira;Philippa;3;5
1186;Triss;Philippa;5;5
1187;Philippa;Assire;5;5
1188;Assire;Philippa;8;5
1189;Philippa;Sabrina;8;5
1190;Sabrina;Sheala;1;5
1191;Sabrina;Francesca;4;5
1192;Sheala;Francesca;4;5
1193;Francesca;Philippa;7;5
1194;Philippa;Margarita;2;5
1195;Philippa;Francesca;3;5
1196;Margarita;Francesca;1;5
1197;Margarita;Assire;2;5
1198;Francesca;Assire;4;5
1199;Sabrina;Philippa;5;5
1200;Sabrina;Emhyr;2;5
1201;Francesca;Sabrina;2;5
1202;Philippa;Sheala;1;5
1203;Sheala;Philippa;5;5
1204;Assire;Sabrina;2;5
1205;Margarita;Sheala;2;5
1206;Francesca;King;1;5
1207;King;Francesca;1;5
1208;King;Assire;1;5
1209;King;Triss;1;5
1210;Francesca;Triss;2;5
1211;Francesca;Keira;2;5
1212;Assire;Triss;2;5
1213;Assire;Keira;1;5
1214;Triss;Keira;1;5
1215;Triss;Sabrina;1;5
1216;Keira;Sabrina;1;5
1217;Sabrina;Assire;4;5
1218;Francesca;Emhyr;1;5
1219;Assire;Emhyr;2;5
1220;Sabrina;Margarita;1;5
1221;Emhyr;Margarita;1;5
1222;Emhyr;Sheala;1;5
1223;Sheala;Assire;1;5
1224;Assire;Francesca;6;5
1225;Francesca;Sheala;1;5
1226;Two;Mistle;1;5
1227;Two;Falka;1;5
1228;Mistle;Falka;3;5
1229;Asse;Kayleigh;1;5
1230;Asse;Little;1;5
1231;Kayleigh;Little;1;5
1232;Falka;Little;1;5
1233;Dandelion;Geralt;72;5
1234;Geralt;Dandelion;70;5
1235;Dandelion;Roach;3;5
1236;Roach;Dandelion;3;5
1237;Dandelion;Riordain;1;5
1238;Aen;Dandelion;2;5
1239;Aen;Geralt;1;5
1240;Geralt;Milva;45;5
1241;Dandelion;Milva;60;5
1242;Milva;Dandelion;61;5
1243;Milva;Ciri;15;5
1244;Geralt;Ciri;5;5
1245;Dandelion;Ciri;7;5
1246;Ciri;Milva;13;5
1247;Milva;Emhyr;1;5
1248;Emhyr;Ciri;3;5
1249;Ciri;Geralt;9;5
1250;Ciri;Emhyr;1;5
1251;Geralt;Emhyr;2;5
1252;Geralt;Roach;2;5
1253;Milva;Roach;4;5
1254;Dandelion;Zoltan;29;5
1255;Milva;Zoltan;34;5
1256;Milva;Field;3;5
1257;Zoltan;Field;8;5
1258;Field;Percival;3;5
1259;Field;Zoltan;5;5
1260;Percival;Zoltan;18;5
1261;Geralt;Zoltan;44;5
1262;Zoltan;Milva;27;5
1263;Zoltan;Munro;3;5
1264;Zoltan;Figgis;1;5
1265;Munro;Figgis;1;5
1266;Munro;Zoltan;3;5
1267;Figgis;Zoltan;1;5
1268;Figgis;Geralt;2;5
1269;Figgis;Dandelion;1;5
1270;Zoltan;Geralt;33;5
1271;Zoltan;Dandelion;27;5
1272;Dandelion;Figgis;2;5
1273;Figgis;Milva;3;5
1274;Milva;Percival;10;5
1275;Percival;Geralt;14;5
1276;Munro;Geralt;2;5
1277;Geralt;Field;6;5
1278;Field;Milva;3;5
1279;Zoltan;Percival;25;5
1280;Ciri;Dandelion;7;5
1281;Maria;Zoltan;1;5
1282;Geralt;Percival;8;5
1283;Munro;Percival;1;5
1284;Percival;Milva;4;5
1285;Cahir;Zoltan;2;5
1286;Zoltan;Ciri;4;5
1287;Geralt;Cahir;11;5
1288;Philippa;Zoltan;1;5
1289;Zoltan;King;1;5
1290;King;Percival;1;5
1291;Dandelion;Field;3;5
1292;Field;Two;1;5
1293;Two;Zoltan;3;5
1294;Dandelion;Percival;14;5
1295;Percival;Figgis;1;5
1296;Field;Geralt;4;5
1297;Emiel;Zoltan;3;5
1298;Emiel;Geralt;3;5
1299;Zoltan;Emiel;2;5
1300;Geralt;Sir;2;5
1301;Sir;Zoltan;2;5
1302;Zoltan;Sir;1;5
1303;Percival;Dandelion;4;5
1304;Yennefer;Dandelion;3;5
1305;Yennefer;Geralt;7;5
1306;Zoltan;Two;2;5
1307;Geralt;Two;2;5
1308;Two;Percival;1;5
1309;Zoltan;Brouver;1;5
1310;Percival;King;1;5
1311;King;Brouver;1;5
1312;Dandelion;Count;5;5
1313;Ciri;Count;2;5
1314;Falka;Ciri;5;5
1315;Ciri;Falka;1;5
1316;Falka;Kayleigh;1;5
1317;Ciri;Kayleigh;3;5
1318;Kayleigh;Ciri;1;5
1319;Emiel;Percival;1;5
1320;Geralt;Emiel;2;5
1321;Munro;Dandelion;1;5
1322;Munro;Milva;2;5
1323;Two;Dandelion;1;5
1324;Dandelion;Munro;1;5
1325;Percival;Sir;2;5
1326;Geralt;Count;4;5
1327;Count;Dandelion;4;5
1328;Field;Sir;1;5
1329;Sir;Percival;1;5
1330;Geralt;Kayleigh;1;5
1331;Mistle;Ciri;5;5
1332;Dandelion;Aubry;1;5
1333;Dandelion;Sir;4;5
1334;Aubry;Sir;2;5
1335;Aubry;Geralt;1;5
1336;Aubry;Dandelion;1;5
1337;Sir;Geralt;3;5
1338;Sir;Dandelion;3;5
1339;Dandelion;Emhyr;2;5
1340;Daniel;Dandelion;1;5
1341;Count;Foltest;1;5
1342;Count;Geralt;2;5
1343;Foltest;Geralt;1;5
1344;Foltest;Count;1;5
1345;Calanthe;Pavetta;1;5
1346;Calanthe;Geralt;1;5
1347;Pavetta;Geralt;1;5
1348;Count;Daniel;1;5
1349;Dandelion;Daniel;1;5
1350;Dandelion;Calanthe;1;5
1351;Daniel;Calanthe;1;5
1352;Daniel;Emhyr;1;5
1353;Calanthe;Emhyr;1;5
1354;Emhyr;Calanthe;2;5
1355;Vissegerd;Foltest;2;5
1356;Vissegerd;Daniel;1;5
1357;Foltest;Daniel;1;5
1358;Foltest;Vissegerd;1;5
1359;Daniel;Vissegerd;1;5
1360;Vissegerd;Geralt;8;5
1361;Geralt;Vissegerd;7;5
1362;Dandelion;Vissegerd;9;5
1363;Vissegerd;Count;4;5
1364;Count;Vissegerd;3;5
1365;Count;Sir;3;5
1366;Vissegerd;Sir;2;5
1367;Sir;Vissegerd;1;5
1368;Vreemde;Morteisen;1;5
1369;Cahir;Dandelion;12;5
1370;Sir;Demavend;1;5
1371;Demavend;Vilgefortz;1;5
1372;Demavend;Rience;1;5
1373;Vilgefortz;Rience;1;5
1374;Vattier;Francesca;1;5
1375;Francesca;Cahir;1;5
1376;Cahir;Rience;2;5
1377;Stefan;Vattier;1;5
1378;Stefan;Milva;1;5
1379;Vattier;Milva;1;5
1380;Ciri;Beau;2;5
1381;Ciri;Cahir;5;5
1382;Beau;Cahir;1;5
1383;Cahir;Milva;18;5
1384;Cahir;Ciri;3;5
1385;Milva;Fringilla;1;5
1386;Milva;Assire;1;5
1387;Ciri;Fringilla;5;5
1388;Ciri;Assire;2;5
1389;Fringilla;Assire;5;5
1390;Fringilla;Merlin;1;5
1391;Assire;Merlin;1;5
1392;Merlin;Assire;2;5
1393;Merlin;Fringilla;1;5
1394;Assire;Fringilla;9;5
1395;Assire;King;1;5
1396;Assire;Albrich;1;5
1397;King;Albrich;1;5
1398;Albrich;Assire;1;5
1399;Assire;Xarthisius;2;5
1400;Stella;Assire;1;5
1401;Stella;Emhyr;1;5
1402;Emhyr;Fringilla;1;5
1403;Emhyr;Xarthisius;1;5
1404;Fringilla;Xarthisius;1;5
1405;Fringilla;Emhyr;1;5
1406;Xarthisius;Emhyr;1;5
1407;Emhyr;Cahir;4;5
1408;Cahir;Emhyr;3;5
1409;Emhyr;Assire;3;5
1410;Cahir;Assire;2;5
1411;Assire;Cahir;1;5
1412;Cahir;Fringilla;1;5
1413;Cahir;Seven;2;5
1414;Milva;Cahir;19;5
1415;Milva;Seven;1;5
1416;Seven;Milva;4;5
1417;Vissegerd;Dandelion;3;5
1418;Dandelion;Gar;1;5
1419;Vissegerd;Gar;1;5
1420;Gar;Geralt;1;5
1421;Gar;Vissegerd;1;5
1422;Geralt;Yennefer;4;5
1423;Dandelion;Seven;3;5
1424;Geralt;Seven;3;5
1425;Seven;Dandelion;2;5
1426;Seven;Cahir;1;5
1427;Dandelion;Cahir;21;5
1428;Philippa;Dandelion;1;5
1429;Milva;Emiel;1;5
1430;Cahir;Geralt;25;5
1431;Kayleigh;Mistle;1;5
1432;Mistle;Kayleigh;1;5
1433;Falka;Mistle;3;5
1434;Mistle;Cahir;1;5
1435;Milva;Yennefer;1;5
1436;Dandelion;Yennefer;1;5
1437;Ciri;Mistle;4;5
1438;Vattier;Ida;1;5
1439;Ida;Francesca;1;5
1440;Ida;Henselt;1;5
1441;Francesca;Henselt;1;5
1442;Francesca;Ida;1;5
1443;Philippa;Ida;4;5
1444;Margarita;Sabrina;3;5
1445;Margarita;Ida;1;5
1446;Margarita;Ithlinne;1;5
1447;Philippa;Ithlinne;1;5
1448;Sabrina;Ida;2;5
1449;Sabrina;Ithlinne;1;5
1450;Ida;Ithlinne;1;5
1451;Ithlinne;Francesca;1;5
1452;Francesca;Yennefer;6;5
1453;Yennefer;Francesca;10;5
1454;Yennefer;Gar;2;5
1455;Francesca;Gar;1;5
1456;Francesca;Ciri;2;5
1457;Gar;Ciri;1;5
1458;Gar;Yennefer;1;5
1459;Ciri;Yennefer;10;5
1460;Ciri;Francesca;3;5
1461;Yennefer;Vilgefortz;2;5
1462;Yennefer;Tissaia;1;5
1463;Francesca;Vilgefortz;1;5
1464;Francesca;Tissaia;1;5
1465;Vilgefortz;Tissaia;1;5
1466;Vilgefortz;Francesca;1;5
1467;Tissaia;Francesca;1;5
1468;Geralt;Francesca;1;5
1469;Keira;Ciri;1;5
1470;Ciri;Vilgefortz;4;5
1471;Vilgefortz;Yennefer;4;5
1472;Yennefer;Triss;4;5
1473;Yennefer;Philippa;7;5
1474;Yennefer;Ciri;7;5
1475;Ciri;Philippa;1;5
1476;Philippa;Ciri;3;5
1477;Fringilla;Philippa;7;5
1478;Philippa;Fringilla;6;5
1479;Fringilla;Triss;2;5
1480;Sabrina;Fringilla;2;5
1481;Fringilla;Sabrina;1;5
1482;Fringilla;Keira;1;5
1483;Sabrina;Keira;1;5
1484;Sabrina;Triss;2;5
1485;Yennefer;Keira;1;5
1486;Keira;Fringilla;1;5
1487;Keira;Ida;1;5
1488;Triss;Fringilla;1;5
1489;Triss;Ida;1;5
1490;Triss;Blue;1;5
1491;Philippa;Blue;1;5
1492;Philippa;Aen;1;5
1493;Fringilla;Ida;2;5
1494;Fringilla;Blue;1;5
1495;Fringilla;Aen;2;5
1496;Ida;Blue;1;5
1497;Ida;Aen;2;5
1498;Blue;Aen;2;5
1499;Blue;Ida;1;5
1500;Aen;Ida;2;5
1501;Aen;Fringilla;1;5
1502;Ida;Fringilla;1;5
1503;Fringilla;Yennefer;8;5
1504;Yennefer;Fringilla;12;5
1505;Philippa;Yennefer;4;5
1506;Ciri;Iskra;3;5
1507;Iskra;Ciri;1;5
1508;Ciri;Asse;1;5
1509;Asse;Ciri;1;5
1510;Iskra;Kayleigh;1;5
1511;Baron;Philippa;1;5
1512;Fringilla;Ciri;1;5
1513;Assire;Ciri;1;5
1514;Assire;Yennefer;5;5
1515;Yennefer;Assire;4;5
1516;Triss;Assire;1;5
1517;Assire;Rience;1;5
1518;Rience;Ciri;1;5
1519;Tissaia;Ida;1;5
1520;Ida;Sabrina;1;5
1521;Ida;Assire;1;5
1522;Ida;Philippa;1;5
1523;Keira;Francesca;1;5
1524;Francesca;Falka;3;5
1525;Falka;Sabrina;1;5
1526;Falka;Assire;1;5
1527;Falka;Francesca;1;5
1528;Sabrina;Falka;1;5
1529;Assire;Falka;2;5
1530;Falka;Yennefer;1;5
1531;Philippa;Falka;2;5
1532;Falka;Anna;1;5
1533;Ciri;Anna;1;5
1534;Anna;Beau;1;5
1535;Anna;Francesca;1;5
1536;Beau;Francesca;1;5
1537;Sabrina;Adalia;1;5
1538;Adalia;Assire;2;5
1539;Francesca;Adalia;1;5
1540;Assire;Adalia;2;5
1541;Adalia;Yennefer;2;5
1542;Adalia;Calanthe;1;5
1543;Adalia;Margarita;1;5
1544;Adalia;Anna;1;5
1545;Calanthe;Margarita;1;5
1546;Calanthe;Anna;1;5
1547;Margarita;Anna;1;5
1548;Anna;Assire;1;5
1549;Geralt;Fringilla;1;5
1550;Ciri;Sabrina;4;5
1551;Triss;Emhyr;1;5
1552;Emhyr;Keira;2;5
1553;Emhyr;Yennefer;1;5
1554;Triss;Yennefer;3;5
1555;Vilgefortz;Sir;3;5
1556;Vilgefortz;Ida;2;5
1557;Ida;Yennefer;1;5
1558;Ida;Margarita;1;5
1559;Ida;Ciri;2;5
1560;Yennefer;Margarita;1;5
1561;Yennefer;Sabrina;2;5
1562;Margarita;Ciri;2;5
1563;Margarita;Vilgefortz;1;5
1564;Sabrina;Vilgefortz;1;5
1565;Triss;Geralt;1;5
1566;Sabrina;Yennefer;1;5
1567;Sabrina;Ciri;1;5
1568;Fringilla;Two;1;5
1569;Two;Seven;1;5
1570;Two;Connor;1;5
1571;Seven;Connor;1;5
1572;Vilgefortz;Ciri;1;5
1573;Geralt;Forest;1;5
1574;Emiel;Roach;1;5
1575;Roach;Cahir;1;5
1576;Geralt;Blue;1;5
1577;Milva;Blue;1;5
1578;Blue;Cahir;2;5
1579;Blue;Milva;1;5
1580;King;Dandelion;1;5
1581;Geralt;Ethain;1;5
1582;Ethain;Cahir;2;5
1583;Ethain;Dandelion;1;5
1584;Ciri;Zoltan;2;5
1585;Cahir;Vissegerd;1;5
1586;Geralt;Vesemir;1;5
1587;Geralt;Dyffryn;1;5
1588;Vesemir;Dandelion;1;5
1589;Vesemir;Cahir;1;5
1590;Vesemir;Dyffryn;1;5
1591;Dandelion;Dyffryn;1;5
1592;Cahir;Dyffryn;1;5
1593;Dyffryn;Dandelion;1;5
1594;Cahir;Roach;1;5
1595;Cahir;Two;1;5
1596;Roach;Milva;1;5
1597;Meve;Geralt;5;5
1598;Geralt;Meve;3;5
1599;Meve;Milva;1;5
1600;Milva;Meve;1;5
1601;Zuleyka;Philippa;2;6
1602;Zuleyka;Vesemir;1;6
1603;Philippa;Vesemir;1;6
1604;Philippa;Sigrdrifa;1;6
1605;Vesemir;Sigrdrifa;1;6
1606;Vesemir;Zyvik;1;6
1607;Sigrdrifa;Zyvik;1;6
1608;Jarre;Triss;2;6
1609;Nenneke;Triss;3;6
1610;Nenneke;Jarre;2;6
1611;Triss;Jarre;1;6
1612;Stefan;Ciri;1;6
1613;Vysogota;Ciri;20;6
1614;Ciri;Vysogota;14;6
1615;Vysogota;Kelpie;2;6
1616;Kelpie;Ciri;10;6
1617;Ciri;Kelpie;8;6
1618;Aen;Ciri;1;6
1619;Asse;Falka;2;6
1620;Falka;Asse;1;6
1621;Kayleigh;Falka;2;6
1622;Emhyr;Mistle;3;6
1623;Mistle;Falka;1;6
1624;Falka;Kayleigh;1;6
1625;Falka;Ciri;6;6
1626;Falka;Baron;4;6
1627;Ciri;Baron;5;6
1628;Baron;Ciri;2;6
1629;Ciri;Falka;7;6
1630;Baron;Asse;1;6
1631;Mistle;Ciri;11;6
1632;Mistle;Asse;1;6
1633;Ciri;Asse;1;6
1634;Kayleigh;Mistle;3;6
1635;Kayleigh;Asse;2;6
1636;Ciri;Mistle;12;6
1637;Kayleigh;Emhyr;1;6
1638;Emhyr;Ciri;4;6
1639;Ciri;Calanthe;2;6
1640;Calanthe;Ciri;8;6
1641;Calanthe;Falka;1;6
1642;Ciri;Emhyr;6;6
1643;Falka;Emhyr;1;6
1644;Asse;Kayleigh;1;6
1645;Baron;Vysogota;1;6
1646;Falka;Mistle;2;6
1647;Yennefer;Ciri;16;6
1648;Mistle;Vysogota;1;6
1649;Mistle;Kayleigh;2;6
1650;Milva;Geralt;11;6
1651;Geralt;Meve;5;6
1652;Meve;Geralt;3;6
1653;Geralt;Milva;17;6
1654;Milva;Meve;1;6
1655;Ciri;Meve;1;6
1656;Meve;Milva;3;6
1657;Milva;Cahir;5;6
1658;Cahir;Geralt;25;6
1659;Milva;Roach;2;6
1660;Roach;Milva;1;6
1661;Geralt;King;1;6
1662;Geralt;Ciri;7;6
1663;Ciri;Geralt;10;6
1664;Geralt;Forest;2;6
1665;Geralt;Yennefer;4;6
1666;Yennefer;Triss;2;6
1667;Yennefer;Crach;11;6
1668;Dandelion;Ciri;2;6
1669;Milva;Dandelion;11;6
1670;Cahir;Dandelion;5;6
1671;Geralt;Dandelion;11;6
1672;Dandelion;Cahir;3;6
1673;Dandelion;Count;1;6
1674;Count;Dandelion;1;6
1675;Milva;Ciri;1;6
1676;Ciri;Dandelion;1;6
1677;Ciri;Milva;1;6
1678;Dandelion;Milva;4;6
1679;Ciri;Cahir;7;6
1680;Calanthe;Cahir;1;6
1681;Vattier;Emhyr;2;6
1682;Vattier;Cahir;2;6
1683;Vattier;Ceallach;2;6
1684;Cahir;Ceallach;1;6
1685;Cahir;Vattier;2;6
1686;Ceallach;Vattier;1;6
